Name,Type,Host,RA dds,Dec dds,DiscDate
2018inf,Ia,MCG +07-28-26,202.98375000000001,44.139358333333334,2018/11/15
A2021ymb,Ia,,5.21315,-32.85691111111111,2021/09/08
ASASSN-13av,Ia,NGC 7068,321.633,12.1802,2013/06/26
ASASSN-13ch,Ia,CGCG 023-030,244.14195833333332,-0.5909322222222222,2013/08/28
ASASSN-13cj,Ia,CGCG 051-075,244.29593749999998,4.554081666666667,2013/08/27
ASASSN-13co,II,CGCG 402-014,325.1609444444445,6.510197222222222,2013/08/29
ASASSN-13cp,Ia,CGCG 136-015,233.45510555555555,21.139274999999998,2013/08/30
ASASSN-13cu,Ia,PGC 2414,10.041927777777778,-10.440129629629629,2013/09/01
ASASSN-13dd,Ia,NGC 2765,136.90306249999998,3.3941970370370367,2013/09/24
ASASSN-13dl,Ia,Unknown,114.70580555555556,58.21207592592592,2013/10/10
ASASSN-13dn,II,SDSS J125258.03+322444.3,193.24275,32.41867499999999,2013/12/15
ASASSN-14ad,Ia,KUG 1237+183,190.046125,18.059105555555554,2014/01/26
ASASSN-14ar,Ia-91bg,IC 527,137.423875,37.60195277777778,2014/04/24
ASASSN-14as,Ia,MCG +06-29-01,194.39162499999998,35.526355555555554,2014/05/01
ASASSN-14ax,Ia,SDSS J171000.70+270619.6,257.50294444444444,27.105497222222226,2014/05/04
ASASSN-14ay,Ia,SDSS J155702.70+372500.0,239.26275,37.415935185185184,2014/05/19
ASASSN-14az,IIb,PGC 1101367,356.2,-2.117338796296296,2014/05/20
ASASSN-14ba,Ia Pec,SDSS J102131.91+082419.8,155.3826875,8.405635925925926,2014/05/19
ASASSN-14bb,Ia,2MASX J12141125+3839400,183.54704166666664,38.66124444444444,2014/05/19
ASASSN-14bd,Ia,IC 831,193.18686111111114,26.470229629629628,2014/05/20
ASASSN-14bf,II,CGCG 103-030,209.55308333333332,17.53185185185185,2014/05/21
ASASSN-14bt,Ia,UGC 5566,154.83277777777778,58.50468703703704,2014/05/27
ASASSN-14bu,II,SDSS J111840.97+250958.5,169.67097222222222,25.166624074074075,2014/05/29
